what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.wikitext.ui,1.5.0.v20110608-1400,"org.eclipse.mylyn.wikitext.ui",1341077398169
started,bundle,org.eclipse.mylyn.wikitext.core,1.5.1.v20110720-0100,"org.eclipse.mylyn.wikitext.core",1341077398192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077445050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077445167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077460892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077461249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077461576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077468838
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077478310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1341077478325
activated,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.sync.views.SynchronizeView",1341077480740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077485560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077506839
executed,command,org.eclipse.egit.ui,2.0.0.201206130900-r,"org.eclipse.egit.ui.team.Commit",1341077506853
error,log,,,"Exception caught during execution of add command",1341077506912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077506972
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077508815
activated,view,org.eclipse.mylyn.tasks.ui,3.8.0.v20120612-0600,"org.eclipse.mylyn.tasks.ui.views.repositories",1341077511188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077517458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077518808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341077523784
