what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074932564
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1341074936176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074954042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074958518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074960211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075020146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075047473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075047685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075051179
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075088237
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.Commit",1341075088280
error,log,,,"An internal error occurred during: ""Committing changes"".",1341075088359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075088436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075093644
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075098421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075140661
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1341075140686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075141922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075198457
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1341075263620
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1341075263633
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1341075264215
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1341075264241
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1341075264257
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1341075264288
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer.httpclient",1341075264302
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20110531-2218,"org.eclipse.ecf.provider.filetransfer",1341075264304
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075264808
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341075266803
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.v20110815-1419,"org.eclipse.equinox.p2.artifact.repository",1341075269715
started,bundle,org.eclipse.equinox.p2.director,2.1.1.v20111126-0211,"org.eclipse.equinox.p2.director",1341075273572
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1341075275516
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.100.v20110815-1419,"org.eclipse.equinox.p2.extensionlocation",1341075285207
started,bundle,org.eclipse.equinox.p2.publisher,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.publisher",1341075285254
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.v20110815-1419,"org.eclipse.equinox.p2.touchpoint.eclipse",1341075285261
error,log,,,"Operation details",1341075287345
error,log,,,"Operation details",1341075287365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075297940
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.install",1341075297960
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075303916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075664609
started,bundle,org.eclipse.epp.mpc.core,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.core",1341075671280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075672571
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075716656
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1341075716679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075722768
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075760010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341075766375
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110815-1438,"org.eclipse.equinox.frameworkadmin",1341076168938
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1341076168957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076169010
executed,command,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui.command.showMarketplaceWizard",1341076169039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076169402
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.300.v20110815-1438,"org.eclipse.equinox.frameworkadmin.equinox",1341076246386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076251902
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341076252607
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1341076253504
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1341076253505
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1341076253505
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1341076253505
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1341076253505
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1341076253505
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1341076253505
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1341076253505
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1341076253505
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1341076253505
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1341076253505
