what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341072203741
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341072207376
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1341072220609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072221808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072223002
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341072231131
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341072233041
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341072235160
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341072236294
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341072240060
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341072241644
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341072243143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341072248542
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341072250568
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341072256745
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341072279334
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072281210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072285134
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341072286775
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072287185
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072289663
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072293316
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072332435
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341072658063
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341072661229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341072696048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072742622
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072746231
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341072747463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072747850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072750350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072751679
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341072994854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073009391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073024279
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341073266857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073273341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073276848
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341073278288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073278717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073281298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073282793
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073431172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073451115
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073464380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073488556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073528731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073572203
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073607574
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341073828576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073861796
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073863650
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073864719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073866377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073868860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073871006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073872636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073874978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073886276
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341073888626
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341073895042
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341073904163
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341073913066
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073924268
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073966784
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341073968959
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341073969976
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1341073973886
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341073974312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341073982107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341073995926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341073997557
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074002418
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341074027042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074027422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074030106
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341074047522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341074052912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074054821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074058624
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341074068270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074068683
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074071097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074082553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074095536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074096632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074098561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074099474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341074159720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074165347
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074166510
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074166729
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074167235
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074167649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074168016
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074168365
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074169009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074169379
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074169869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074170406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074170895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074171517
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074172012
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074173477
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074174046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074174558
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074174973
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074175265
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074175576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074175915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074176190
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074176516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1341074176820
