what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1341069217111
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1341069217111
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1341069217111
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1341069217111
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1341069217111
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1341069217111
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1341069217111
os,sysinfo,,,"win32",1341069217126
arch,sysinfo,,,"x86",1341069217126
ws,sysinfo,,,"win32",1341069217126
locale,sysinfo,,,"fr_FR",1341069217126
processors,sysinfo,,,"4",1341069217126
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1341069217126
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1341069217126
java.specification.name,sysinfo,,,"Java Platform API Specification",1341069217126
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341069217126
java.specification.version,sysinfo,,,"1.6",1341069217126
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1341069217126
java.version,sysinfo,,,"1.6.0_31",1341069217126
java.vm.info,sysinfo,,,"mixed mode",1341069217126
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1341069217126
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1341069217126
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1341069217126
java.vm.specification.version,sysinfo,,,"1.0",1341069217126
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1341069217126
java.vm.version,sysinfo,,,"20.6-b01",1341069217126
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1341069218172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069219326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069240495
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1341069245160
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1341069245238
started,bundle,it.baeyens.avreclipse.core,1.0.6,"it.baeyens.avreclipse.core",1341069245284
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1341069245425
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1341069245815
started,bundle,it.baeyens.arduino.common,1.1.0.5,"it.baeyens.arduino.common",1341069246205
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1341069251088
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069251150
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069251384
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1341069252273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069257296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069258654
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1341069258669
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341069259340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069259371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069263505
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341069265814
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069269230
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069269308
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341069273193
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069273396
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069273442
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341069276796
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069277093
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069277155
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069311054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069340067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069581277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069590499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069962626
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069968046
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069970814
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341069971907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1341069982536
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341069991554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070002050
started,bundle,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.ui",1341070202277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070202330
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070204711
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341070204725
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1341070207602
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341070209041
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1341070209588
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1341070209651
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1341070209651
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1341070209652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070209779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070212069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070214288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070225701
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1341070226224
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1341070226231
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1341070226578
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070233231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070234696
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070235918
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070253600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070255523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070258559
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341070259531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070259933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070262149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070263931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070264656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070265163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070277263
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1341070347859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070364432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070367318
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341070402974
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070403434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070405642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070407882
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070419788
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1341070434338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070437580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070441179
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1341070445209
executed,command,it.baeyens.avreclipse.ui,4.0.6,"it.baeyens.avreclipse.commands.uploadproject",1341070451538
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070451946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1341070454449
